站名,平均氣溫,絕對最高氣溫,絕對最低氣溫,總日照時數h,總日射量MJ/ m2,Year,Month,行政區
花蓮農改,22.9,32,14.5,143,388.73,2004,10,花蓮縣
斑鳩分場,22.3,35.4,15.1,157.2,285.91,2004,10,台東縣
桃園農改,21.25,30.95,13.65,126.8,299.095,2004,11,桃園市
五峰站,16,24.5,6.3,,358.33,2004,11,新竹縣
台中農改,21.7,36.2,13.2,205.8,259.92,2004,11,台中市
雲林分場,21.4,31.3,11.3,167.7,276.87,2004,11,雲林縣
義竹分場,22.85,32.3,14.15,,383.01,2004,11,嘉義縣
高雄農改,23.9,32.4,17.2,126.5,245.41,2004,11,屏東縣
斑鳩分場,21.1,30.4,13.1,112.4,217.35,2004,11,台東縣
花蓮農改,21.3,28.4,12.2,89.5,271.5,2004,11,花蓮縣
蘭陽分場,20.5,29.4,15.6,76.3,211.01,2004,11,宜蘭縣
茶改場,20.7,30.6,14.6,209.9,346.42,2004,11,桃園市
畜試所,22.4,32.1,13.6,130.8,277.26,2004,11,臺南市
恆春畜試,24.5,30.9,20.3,185.6,545.7,2004,11,屏東縣
農業試驗所,21.7,31.3,12,227.8,295.15,2004,11,台中市
苗栗農改,21.35,31.45,11.5,,,2004,11,苗栗縣
臺大溪頭,15.1,25.4,6.8,,227.82,2004,11,南投縣
桃園農改,,,,,,2004,12,桃園市
五峰站,12.4,23.5,-1.3,104.3,271.71,2004,12,新竹縣
台中農改,18.6,27.2,8.4,206.1,251.15,2004,12,台中市
雲林分場,18.4,27.9,8.5,,289.78,2004,12,雲林縣
義竹分場,18.6,27.7,9.1,,417.76,2004,12,嘉義縣
高雄農改,20.8,29,10.6,119.1,247.18,2004,12,屏東縣
斑鳩分場,18.8,26.7,8.5,119.9,197.66,2004,12,台東縣
花蓮農改,19.2,25.8,9.3,96.7,257.91,2004,12,花蓮縣
蘭陽分場,18.3,26,7.7,63.5,186.82,2004,12,宜蘭縣
茶改場,17.5,27.2,5,126.9,299.59,2004,12,桃園市
畜試所,18.9,28.9,8.9,171.7,280.9,2004,12,臺南市
恆春畜試,,,,,,2004,12,屏東縣
農業試驗所,18.7,28.3,8.5,218.8,274.09,2004,12,台中市
苗栗農改,17,27.2,6,,,2004,12,苗栗縣
臺大溪頭,12.6,21.5,3.3,,237.61,2004,12,南投縣
桃園農改,,,,,,2005,1,桃園市
五峰站,9.7,21.1,-2.3,72.6,206.52,2005,1,新竹縣
台中農改,15.7,26.2,4.5,171.4,233.09,2005,1,台中市
雲林分場,15.7,28.4,3.7,139.5,261.24,2005,1,雲林縣
義竹分場,15.9,26.9,4.8,,389.88,2005,1,嘉義縣
高雄農改,18.6,27.5,9,147.1,248.98,2005,1,屏東縣
斑鳩分場,16.5,26,8.3,60.8,156.14,2005,1,台東縣
花蓮農改,17.75,27.35,9.95,45.1,173.65,2005,1,花蓮縣
蘭陽分場,15.3,24.8,7.6,50.7,156.62,2005,1,宜蘭縣
茶改場,13.1,24.8,3.1,55.7,114.615,2005,1,桃園市
畜試所,16.3,27.6,5.2,125.1,253.31,2005,1,臺南市
恆春畜試,19.9,27.3,13.2,158,474.41,2005,1,屏東縣
農業試驗所,15.9,26.9,4.3,174.6,243.35,2005,1,台中市
苗栗農改,14,26.6,1.7,,,2005,1,苗栗縣
臺大溪頭,11,21.6,2.3,,237.43,2005,1,南投縣
桃園農改,13.8,27.4,5.5,122.85,134.13,2005,2,桃園市
茶改場,13.5,28.8,4.1,123.2,,2005,2,桃園市
五峰站,11.9,23.4,0.5,66.3,203.34,2005,2,新竹縣
苗栗農改,14.4,30.5,5.2,,,2005,2,苗栗縣
農業試驗所,17.1,31.5,7.2,114.6,193.83,2005,2,台中市
臺中農改,16.2,30.8,6.7,115.5,186.81,2005,2,彰化縣
臺大溪頭,13.7,23.9,4.8,,223.57,2005,2,南投縣
雲林分場,16.7,33,6.7,92.3,226.22,2005,2,雲林縣
義竹分場,17,31.4,6.9,,318.56,2005,2,嘉義縣
畜試所,17.9,32.8,7.6,145.2,232.86,2005,2,臺南市
恆春畜試,21.7,29.1,15.5,175.2,463.74,2005,2,屏東縣
高雄農改,20.5,31.3,10.9,130.2,230.71,2005,2,屏東縣
蘭陽分場,17.35,28.65,10.45,91.05,238.905,2005,2,宜蘭縣
花蓮農改,18.2,28.05,11.05,57.8,178.36,2005,2,花蓮縣
斑鳩分場,18,28.8,9.6,53.7,141.17,2005,2,台東縣
桃園農改,16.8,28.55,8.55,85.15,270.775,2005,3,桃園市
五峰站,11.8,25.8,-0.3,108,341.55,2005,3,新竹縣
台中農改,17,29.9,4,159.6,266.8,2005,3,台中市
雲林分場,17.2,31.1,4.1,,303.8,2005,3,雲林縣
義竹分場,17.5,30.4,4.9,,429.9,2005,3,嘉義縣
高雄農改,20.2,31.1,6.9,136.1,287.43,2005,3,屏東縣
斑鳩分場,18.95,29.15,11.3,49,163.995,2005,3,台東縣
花蓮農改,17.5,27.1,9,,264.89,2005,3,花蓮縣
蘭陽分場,18.35,29.7,10.5,81.7,265.29,2005,3,宜蘭縣
茶改場,14.9,29.3,0.8,129.8,,2005,3,桃園市
畜試所,18.1,32.5,5.5,116.1,298.72,2005,3,臺南市
恆春畜試,22.85,31.2,15.05,152.5,522.07,2005,3,屏東縣
農業試驗所,17.5,30.1,3.7,147.2,264.32,2005,3,台中市
苗栗農改,15.6,30.8,1,,,2005,3,苗栗縣
臺大溪頭,11.8,22,-0.5,,280.51,2005,3,南投縣
桃園農改,21.6,31.5,13.2,98.45,368.28,2005,4,桃園市
茶改場,20.8,31.7,12.5,123.6,255.56,2005,4,桃園市
五峰站,17,29.1,8.8,86.8,319.25,2005,4,新竹縣
苗栗農改,22,33,10.7,,,2005,4,苗栗縣
農業試驗所,23.6,32.5,13.6,145.2,322.23,2005,4,台中市
臺中農改,*23.3,*31.9,*14.1,*190.7,*322.02,2005,4,彰化縣
臺大溪頭,,,,,225.61,2005,4,南投縣
雲林分場,23.4,33.7,14.2,135,353.81,2005,4,雲林縣
義竹分場,23.5,31.9,14.4,,514.98,2005,4,嘉義縣
畜試所,24,34.1,14.9,153.2,370.3,2005,4,臺南市
恆春畜試,25.4,31.8,20.2,192.7,602.55,2005,4,屏東縣
高雄農改,25.3,33.6,17.6,161.4,341.95,2005,4,屏東縣
蘭陽分場,22,30.3,14.8,122.6,390.21,2005,4,宜蘭縣
花蓮農改,22.3,30,13.2,93.5,322.31,2005,4,花蓮縣
斑鳩分場,22.15,35.4,14.6,79.05,212.81,2005,4,台東縣
桃園農改,24.95,32.8,16.25,111.45,456.485,2005,5,桃園市
茶改場,24.4,33.9,17.3,92.5,311.1,2005,5,桃園市
五峰站,20.3,31.4,15.4,,372.63,2005,5,新竹縣
苗栗農改,25.9,34.2,18.6,,,2005,5,苗栗縣
農業試驗所,26.7,33.1,20.7,162.7,377.68,2005,5,台中市
臺中農改,*26.5,*32.9,*20.7,*214.2,*371.98,2005,5,彰化縣
臺大溪頭,,,,,272.23,2005,5,南投縣
雲林分場,26.7,34.5,20.4,188.2,416.3,2005,5,雲林縣
義竹分場,26.8,33.1,21.5,,590.87,2005,5,嘉義縣
畜試所,27,35.3,21.1,193.9,397.97,2005,5,臺南市
恆春畜試,27.6,33.1,21.4,153.8,637.05,2005,5,屏東縣
高雄農改,27.8,34.5,21.7,184.5,383.28,2005,5,屏東縣
蘭陽分場,25.2,37,20,94.6,385.54,2005,5,宜蘭縣
花蓮農改,25.4,31.6,20.7,77.5,325.02,2005,5,花蓮縣
斑鳩分場,24.9,36.4,20.4,73.8,242.4,2005,5,台東縣
桃園農改,26.8,32.7,20.7,78.1,472.22,2005,6,桃園市
茶改場,26.3,33.1,19.4,106.3,349.24,2005,6,桃園市
五峰站,21.7,29.6,16.5,91.7,368.74,2005,6,新竹縣
苗栗農改,27.2,33.8,20.3,,,2005,6,苗栗縣
農業試驗所,27.2,33.5,23.1,86,297.29,2005,6,台中市
臺中農改,27.3,33.8,22.4,171.4,308.64,2005,6,彰化縣
臺大溪頭,,,,,224.31,2005,6,南投縣
雲林分場,27.1,36,22.4,128.9,344.16,2005,6,雲林縣
義竹分場,27.3,33.1,23,,439.18,2005,6,嘉義縣
畜試所,26.9,35.1,22.6,108.6,272.3,2005,6,臺南市
恆春畜試,27.95,34.85,21.25,105.4,581.87,2005,6,屏東縣
高雄農改,27,36.7,23,91.1,259.61,2005,6,屏東縣
蘭陽分場,26,34.9,18.35,127.45,459.995,2005,6,宜蘭縣
花蓮農改,26.6,32.9,20.7,114.8,398.06,2005,6,花蓮縣
斑鳩分場,25.7,36.7,19.7,85.4,269.06,2005,6,台東縣
茶改場,27.3,34.1,20.4,221,410.83,2005,7,桃園市
桃園農改,28.1,34.5,22,195.3,687.19,2005,7,桃園市
五峰站,22,28.7,16.8,139.2,443.53,2005,7,新竹縣
苗栗農改,27.9,34.5,22.2,,579.88,2005,7,苗栗縣
台中農改,28.9,35.6,22.9,258,413.26,2005,7,台中市
臺大溪頭,,,,,289.33,2005,7,南投縣
雲林分場,28.4,37.2,22.5,215.6,443.26,2005,7,雲林縣
義竹分場,28.6,35,22.7,,578.09,2005,7,嘉義縣
畜試所,28.3,35.6,22.6,217.5,388.68,2005,7,臺南市
高雄農改,28.7,37,22.6,213.3,398.83,2005,7,屏東縣
恆春畜試,28,33.15,22.9,94.65,546.69,2005,7,屏東縣
蘭陽分場,30.3,39.5,21.9,212.2,606.87,2005,7,宜蘭縣
花蓮農改,28.3,34.3,21.1,223.4,555.6,2005,7,花蓮縣
斑鳩分場,26.4,35.1,20.6,140.7,341.69,2005,7,台東縣
農業試驗所,28.6,35.9,22.3,176.7,412.31,2005,7,台中市
桃園農改,27.8,33.9,23.3,171.2,552.39,2005,8,桃園市
茶改場,26.7,33.4,22,148.8,315.69,2005,8,桃園市
五峰站,21.6,29.9,18.1,96.5,347.42,2005,8,新竹縣
苗栗農改,27.6,34.5,22.3,,446.53,2005,8,苗栗縣
農業試驗所,27.6,34,22.6,154.8,335.59,2005,8,台中市
臺中農改,28.1,34.4,23.1,188.8,319.44,2005,8,彰化縣
臺大溪頭,,,,,252.51,2005,8,南投縣
雲林分場,27.7,35.8,22.4,126.4,344.44,2005,8,雲林縣
義竹分場,28,34.7,22.9,,472.21,2005,8,嘉義縣
畜試所,27.6,34.2,22.2,120,315.34,2005,8,臺南市
恆春畜試,,,,126,564.75,2005,8,屏東縣
高雄農改,28.1,35.9,23.2,116.2,301.93,2005,8,屏東縣
蘭陽分場,28.2,35.5,23.5,185.2,544.06,2005,8,宜蘭縣
花蓮農改,27.7,34.2,22.8,153.7,480.08,2005,8,花蓮縣
斑鳩分場,26.3,35.4,21.4,105,288.95,2005,8,台東縣
茶改場,26,33.3,19.6,194.9,351.43,2005,9,桃園市
桃園農改,27.2,35.4,21.2,237.8,578.29,2005,9,桃園市
五峰站,21.2,27.9,16.8,125.6,386.78,2005,9,新竹縣
苗栗農改,26.7,33.6,19.2,,529.3,2005,9,苗栗縣
台中農改,27.9,34.1,22.3,235.2,362.12,2005,9,台中市
臺大溪頭,,,,,309.38,2005,9,南投縣
雲林分場,27.7,35.9,22,188.9,395.78,2005,9,雲林縣
義竹分場,28.1,35.3,22.8,,539.74,2005,9,嘉義縣
畜試所,27.8,34.3,22.1,157.9,352.11,2005,9,臺南市
高雄農改,27.9,34.9,22.7,131.4,288.55,2005,9,屏東縣
恆春畜試,27.35,33.2,23.25,186.3,581.9,2005,9,屏東縣
蘭陽分場,26.9,34.3,21.7,185.1,494.49,2005,9,宜蘭縣
花蓮農改,26.7,33.5,20.9,154.8,455.34,2005,9,花蓮縣
斑鳩分場,25.6,35.2,20.1,134.5,291.28,2005,9,台東縣
農業試驗所,27.9,34.3,22,241.6,391.44,2005,9,台中市
茶改場,22.5,32.3,16.9,139.2,234.34,2005,10,桃園市
桃園農改,23.9,32.6,18.2,164,407.45,2005,10,桃園市
五峰站,18.1,25.9,11.6,86.3,321.97,2005,10,新竹縣
苗栗農改,23.6,31.9,16,,433.24,2005,10,苗栗縣
台中農改,25.1,33,18.6,230,324.87,2005,10,台中市
臺大溪頭,19.9,27.7,14,,229.92,2005,10,南投縣
雲林分場,24.9,33.8,18,173.3,360.01,2005,10,雲林縣
義竹分場,25.2,33.2,17.8,,491.68,2005,10,嘉義縣
畜試所,25.4,34.1,18.1,145.6,324.28,2005,10,臺南市
高雄農改,26.6,33.3,20.6,139.6,271.8,2005,10,屏東縣
恆春畜試,26,32.05,21.1,216.1,584.49,2005,10,屏東縣
蘭陽分場,23.6,32.4,17.5,95.2,273.37,2005,10,宜蘭縣
花蓮農改,25,32,18.6,130.8,366.69,2005,10,花蓮縣
斑鳩分場,23.9,32.1,16.9,143.3,282.59,2005,10,台東縣
農業試驗所,24.4,32.15,17.5,265.4,377.56,2005,10,台中市
茶改場,20.4,29.9,13.9,113.7,197.33,2005,11,桃園市
桃園農改,21.5,31.8,14.4,160.8,345.98,2005,11,桃園市
五峰站,16.3,25.3,9.9,,328.05,2005,11,新竹縣
苗栗農改,21.2,30.7,12.6,,367.91,2005,11,苗栗縣
台中農改,22.8,31.6,14.5,195.6,255.36,2005,11,台中市
臺大溪頭,17.6,27.6,10,,241.45,2005,11,南投縣
雲林分場,22.6,32.8,13.3,159.1,302.25,2005,11,雲林縣
義竹分場,22.9,32.2,14.5,,392.58,2005,11,嘉義縣
畜試所,23,32,14.2,144,276.68,2005,11,臺南市
高雄農改,24.7,33.3,17.6,159.9,256,2005,11,屏東縣
恆春畜試,,,,201.5,505.46,2005,11,屏東縣
蘭陽分場,21.5,30.7,14.9,91.9,226.08,2005,11,宜蘭縣
花蓮農改,23.1,32.2,15.8,85.1,264.59,2005,11,花蓮縣
斑鳩分場,21.5,30.7,15.2,95.8,193.57,2005,11,台東縣
農業試驗所,22.8,31.7,13.6,216.5,289.58,2005,11,台中市
茶改場,14,23.3,5,82.7,126.67,2005,12,桃園市
桃園農改,,,,,,2005,12,桃園市
五峰站,10.1,20.7,-0.4,105.4,233.84,2005,12,新竹縣
苗栗農改,14.7,26.5,1.9,,265.56,2005,12,苗栗縣
台中農改,16.4,27.7,4.8,155.4,216.39,2005,12,台中市
臺大溪頭,12.8,27,1,,231.48,2005,12,南投縣
雲林分場,16.2,29.1,3.3,134.4,240.91,2005,12,雲林縣
義竹分場,16.8,29.6,4.2,,353.73,2005,12,嘉義縣
畜試所,17.5,29.4,5.1,129.5,254.26,2005,12,臺南市
高雄農改,19.2,30.3,8.7,82.9,207.57,2005,12,屏東縣
恆春畜試,,,,97.9,,2005,12,屏東縣
蘭陽分場,15.8,27.1,6,69.8,185.26,2005,12,宜蘭縣
花蓮農改,18.2,33,9.6,47.3,167.28,2005,12,花蓮縣
斑鳩分場,16.7,26.9,8.5,55.1,132.97,2005,12,台東縣
農業試驗所,16.5,28.6,4.7,167.9,229.97,2005,12,台中市
茶改場,14.8,25.6,5.8,74.4,118.81,2006,1,桃園市
桃園農改,15.5,23.7,7.8,70.5,209.14,2006,1,桃園市
五峰站,12,23.6,0.6,76.7,244.57,2006,1,新竹縣
苗栗農改,15.5,26.1,7,,240.19,2006,1,苗栗縣
台中農改,16.25,26.6,4.95,170.4,237.715,2006,1,台中市
臺大溪頭,13.9,26.5,4,,232.08,2006,1,南投縣
雲林分場,17.1,54.3,9.1,118.7,267.53,2006,1,雲林縣
義竹分場,17.4,29.6,0,,377.31,2006,1,嘉義縣
畜試所,18.3,31.1,8.6,126.9,255.25,2006,1,臺南市
高雄農改,20.5,31,10.3,143.7,240.8,2006,1,屏東縣
恆春畜試,21.6,34.5,10.7,169.2,427.32,2006,1,屏東縣
蘭陽分場,17.3,27.6,8.4,57.7,181.57,2006,1,宜蘭縣
花蓮農改,18.9,29.6,10.9,43,184.38,2006,1,花蓮縣
斑鳩分場,18.1,27.5,10.1,67.8,161.96,2006,1,台東縣
農業試驗所,17.6,30.3,9.2,173.3,252.43,2006,1,台中市
桃園農改,15.5,28.3,10.8,83.4,232.81,2006,2,桃園市
茶改場,15,27.8,10.1,90.7,140.67,2006,2,桃園市
五峰站,12.9,23.4,6.5,84.9,277.58,2006,2,新竹縣
苗栗農改,15.9,31.2,8.8,,259.04,2006,2,苗栗縣
農業試驗所,18.3,31,11.4,180,277.47,2006,2,台中市
臺中農改,18.1,30.5,11.4,163.6,247.08,2006,2,彰化縣
臺大溪頭,15,27,7.5,,249.51,2006,2,南投縣
雲林分場,17.8,33.8,10,116.3,278.04,2006,2,雲林縣
義竹分場,18.4,31.7,9.8,,416.11,2006,2,嘉義縣
畜試所,19.4,33.7,10.5,135.4,294.16,2006,2,臺南市
恆春畜試,22.4,29.7,16.1,175.7,460.34,2006,2,屏東縣
高雄農改,21.5,33.3,13.1,153.7,277.78,2006,2,屏東縣
蘭陽分場,17.4,28.4,10.7,62,199.53,2006,2,宜蘭縣
花蓮農改,18.8,28.4,11.9,55.9,198.98,2006,2,花蓮縣
斑鳩分場,18.5,30.2,10.5,64.2,175.88,2006,2,台東縣
茶改場,16.1,28.5,7.3,66.5,173.18,2006,3,桃園市
桃園農改,17.1,29.4,8.1,100.1,314.69,2006,3,桃園市
五峰站,13.1,27.3,2.2,88.2,284.47,2006,3,新竹縣
苗栗農改,18,33.8,8.3,,338.45,2006,3,苗栗縣
台中農改,19.2,32.6,10.1,177.5,288.19,2006,3,台中市
臺大溪頭,15.3,27.4,6.9,,202.18,2006,3,南投縣
雲林分場,19.3,33.7,9.9,136.5,331.01,2006,3,雲林縣
義竹分場,19.7,33.2,10.3,,465.71,2006,3,嘉義縣
畜試所,20.6,33.9,10.8,122.7,310.38,2006,3,臺南市
高雄農改,22.6,34.4,11.6,159.5,293.86,2006,3,屏東縣
恆春畜試,23.1,32.9,14.1,189.3,542.2,2006,3,屏東縣
蘭陽分場,18.5,30.8,10.5,98.6,298.35,2006,3,宜蘭縣
花蓮農改,19.5,28.6,11.7,70.8,244.57,2006,3,花蓮縣
斑鳩分場,19,30.1,10.8,53.1,174.74,2006,3,台東縣
農業試驗所,19.7,32.2,10.5,168.5,290.64,2006,3,台中市
桃園農改,21.8,30.1,14.2,82.2,342.56,2006,4,桃園市
茶改場,20.9,31.1,12.9,88.7,196.07,2006,4,桃園市
五峰站,17.8,29,10.1,66.7,290.8,2006,4,新竹縣
苗栗農改,22.5,32.4,13.4,,324.15,2006,4,苗栗縣
農業試驗所,24,32.7,16.2,120.7,274.94,2006,4,台中市
臺中農改,23.8,32.3,15.3,143.9,269.54,2006,4,彰化縣
臺大溪頭,18.8,28.4,12.5,,214.01,2006,4,南投縣
雲林分場,24,33.8,15.9,124.3,314.01,2006,4,雲林縣
義竹分場,24.4,34,15.9,,456.76,2006,4,嘉義縣
畜試所,24.9,36,16.3,131.1,307.81,2006,4,臺南市
恆春畜試,26.3,35.9,18.3,172.1,587.28,2006,4,屏東縣
高雄農改,25.9,33.4,18.8,140.5,310.42,2006,4,屏東縣
蘭陽分場,22.1,31.9,14.4,85.1,303.02,2006,4,宜蘭縣
花蓮農改,22.8,31.2,16.7,82.7,291.76,2006,4,花蓮縣
斑鳩分場,22.7,35.6,15,72.4,201.01,2006,4,台東縣
茶改場,23.1,31.4,14.3,105.1,386.61,2006,5,桃園市
桃園農改,24,30.9,15.4,72.9,379.57,2006,5,桃園市
五峰站,19.6,27.9,14,64.3,324.87,2006,5,新竹縣
苗栗農改,24.5,33.2,15.8,,396.18,2006,5,苗栗縣
台中農改,25.8,32.4,19.1,189.7,343.08,2006,5,台中市
臺大溪頭,19.9,28.5,13,,220.98,2006,5,南投縣
雲林分場,25.9,34.2,19.8,157.1,402.35,2006,5,雲林縣
義竹分場,26.3,33,20.2,,581.07,2006,5,嘉義縣
畜試所,26.6,34.4,20.3,158.1,377.59,2006,5,臺南市
高雄農改,27.7,34.1,22.2,163.8,369.99,2006,5,屏東縣
恆春畜試,27.6,36.1,19,147,609.74,2006,5,屏東縣
蘭陽分場,24.4,32,16.3,73.1,351.53,2006,5,宜蘭縣
花蓮農改,25.1,32,19.4,83.4,371.39,2006,5,花蓮縣
斑鳩分場,24.6,34.8,19.4,71.2,248.38,2006,5,台東縣
農業試驗所,25.8,32.3,19.4,136.4,349.6,2006,5,台中市
茶改場,25.6,32.4,17,138.2,473.19,2006,6,桃園市
桃園農改,27.2,34.4,21.8,89.3,469.545,2006,6,桃園市
五峰站,21.4,28.9,14,73.35,365.17,2006,6,新竹縣
苗栗農改,27,34.2,17.8,,438.29,2006,6,苗栗縣
台中農改,27.2,34.4,18.9,173.1,325.41,2006,6,台中市
臺大溪頭,20.9,30,15.5,,222.92,2006,6,南投縣
雲林分場,27,36.2,19.7,146.75,328.25,2006,6,雲林縣
義竹分場,27.5,34.7,20.5,,488.47,2006,6,嘉義縣
畜試所,27.3,35.2,21.5,141.8,322.17,2006,6,臺南市
高雄農改,28.5,39.9,22,142.4,314.99,2006,6,屏東縣
恆春畜試,28,35.8,20.4,105.8,553.56,2006,6,屏東縣
蘭陽分場,26,35,18.7,119.8,446.71,2006,6,宜蘭縣
花蓮農改,25.9,33.4,19.2,113.6,436.83,2006,6,花蓮縣
斑鳩分場,25.8,35.5,19.4,91.6,282.86,2006,6,台東縣
農業試驗所,27,35,19.5,109.2,309.75,2006,6,台中市
桃園農改,29.05,35.4,23.3,214.95,701.685,2006,7,桃園市
茶改場,27.5,34.7,22.6,225.7,596.37,2006,7,桃園市
五峰站,22.6,29.8,18.6,136.7,454.32,2006,7,新竹縣
苗栗農改,28.6,35.3,22.9,,575.08,2006,7,苗栗縣
農業試驗所,28.7,35.5,23.3,171.7,396.29,2006,7,台中市
臺中農改,28.9,34.5,23.7,207.5,373.31,2006,7,彰化縣
臺大溪頭,22,30,15.5,,243.82,2006,7,南投縣
雲林分場,28.4,36.1,22.7,182.1,402.26,2006,7,雲林縣
義竹分場,28.5,34.9,23.1,,528.13,2006,7,嘉義縣
畜試所,28.1,39.1,22.6,154.3,327.92,2006,7,臺南市
恆春畜試,28.5,33.7,23.2,118,553.72,2006,7,屏東縣
高雄農改,28.4,35.3,23.2,143.5,321.07,2006,7,屏東縣
蘭陽分場,28,36,23.3,206.9,598.98,2006,7,宜蘭縣
花蓮農改,27.8,33.6,22.8,236.4,616.87,2006,7,花蓮縣
斑鳩分場,26.6,34.8,21.5,143.7,330.71,2006,7,台東縣
茶改場,27.1,34.7,21.4,200.4,576.46,2006,8,桃園市
桃園農改,27.85,34.8,23.4,170.7,523.62,2006,8,桃園市
五峰站,22,30.2,17.8,108,427.79,2006,8,新竹縣
苗栗農改,28.1,36.2,22.4,,504.78,2006,8,苗栗縣
台中農改,28.8,36.1,23.7,235.3,383.18,2006,8,台中市
臺大溪頭,21.7,32.5,15.5,,269.21,2006,8,南投縣
雲林分場,28.1,37.1,22.7,186.9,416.88,2006,8,雲林縣
義竹分場,28.3,34.5,22.4,,576.67,2006,8,嘉義縣
畜試所,27.9,35.7,22.1,167.4,375.64,2006,8,臺南市
高雄農改,28.4,35,23.2,167,366.67,2006,8,屏東縣
恆春畜試,28.2,33,22.7,165.5,613.41,2006,8,屏東縣
蘭陽分場,27.5,34.3,22.8,218.3,576.83,2006,8,宜蘭縣
花蓮農改,27.1,32.7,22.3,176.7,556.48,2006,8,花蓮縣
斑鳩分場,26.3,34.4,21.4,157.7,350.9,2006,8,台東縣
農業試驗所,28.5,36.7,23.1,206.2,409.51,2006,8,台中市
桃園農改,26.3,33.5,21,174.6,480.63,2006,9,桃園市
茶改場,24.9,33.4,18.3,150,454.33,2006,9,桃園市
五峰站,20.3,28,14.6,97.2,348.97,2006,9,新竹縣
苗栗農改,25.8,35.8,17.5,,444.5,2006,9,苗栗縣
農業試驗所,26.8,34.2,20.9,206.8,361.47,2006,9,台中市
臺中農改,26.8,35.5,20.3,207.3,338.74,2006,9,彰化縣
臺大溪頭,20.5,28.9,14.5,,221.97,2006,9,南投縣
雲林分場,26.8,35.1,20.8,174.8,380.04,2006,9,雲林縣
義竹分場,26.9,33.3,20.7,,506.23,2006,9,嘉義縣
畜試所,26.9,34.5,22,141.1,331.75,2006,9,臺南市
恆春畜試,27.4,33.1,23.5,177.4,559.03,2006,9,屏東縣
高雄農改,27.1,34.2,23.2,132.5,294.21,2006,9,屏東縣
蘭陽分場,25.2,33.2,19.5,101,342.74,2006,9,宜蘭縣
花蓮農改,25.4,31.8,19,84.4,364.87,2006,9,花蓮縣
斑鳩分場,24.9,34.5,17.6,100.2,268.42,2006,9,台東縣
桃園農改,24.3,30.5,18.4,268.6,550.56,2006,10,桃園市
茶改場,23.3,30.7,15.9,227.7,528.44,2006,10,桃園市
五峰站,18.4,25.6,11.7,145.2,401.34,2006,10,新竹縣
苗栗農改,23.6,31.4,14.7,,516.71,2006,10,苗栗縣
農業試驗所,25.9,32.7,19.3,261,367.21,2006,10,台中市
臺中農改,25.1,31.9,18.5,235.5,334.02,2006,10,彰化縣
臺大溪頭,19,28.5,13,,186.69,2006,10,南投縣
雲林分場,25.3,33.2,17.8,191.9,367.53,2006,10,雲林縣
義竹分場,25.5,32.6,18.7,,513.12,2006,10,嘉義縣
畜試所,25.8,33.4,19.2,135.5,308.7,2006,10,臺南市
恆春畜試,26.7,32.7,22.5,226.3,597.96,2006,10,屏東縣
高雄農改,26.6,32.8,21.9,116.1,265.03,2006,10,屏東縣
蘭陽分場,23.4,29.2,18.5,124.9,347.95,2006,10,宜蘭縣
花蓮農改,24,29.8,17.9,120.9,380.64,2006,10,花蓮縣
斑鳩分場,23.8,31.8,18.1,145.7,277.41,2006,10,台東縣
茶改場,20.3,29.3,15.1,119.3,295.21,2006,11,桃園市
桃園農改,21.3,29.8,15.7,130.6,306.52,2006,11,桃園市
五峰站,16.4,24,9.6,77.1,262.4,2006,11,新竹縣
苗栗農改,21,30.8,13.6,,311.76,2006,11,苗栗縣
台中農改,22.7,30.4,17.2,153.8,222,2006,11,台中市
臺大溪頭,17.4,27,10.5,,167.92,2006,11,南投縣
雲林分場,22.7,31.6,16.1,154.8,267.8,2006,11,雲林縣
義竹分場,22.9,30.9,17.6,,372.76,2006,11,嘉義縣
畜試所,23.4,32.6,17.4,131.7,253.68,2006,11,臺南市
高雄農改,24.9,33,19.9,145,237.27,2006,11,屏東縣
恆春畜試,25.5,32.1,20.6,190.3,465.22,2006,11,屏東縣
蘭陽分場,20.9,28.6,14.6,77.1,205.94,2006,11,宜蘭縣
花蓮農改,21.6,27.8,14.3,76.5,244.5,2006,11,花蓮縣
斑鳩分場,21.8,28.9,14.6,85.7,172.02,2006,11,台東縣
農業試驗所,23.4,32.4,17.3,178.4,257.22,2006,11,台中市
茶改場,16.3,25.2,9.5,133.1,270.88,2006,12,桃園市
桃園農改,17.6,25.9,11.4,120.8,261.08,2006,12,桃園市
五峰站,12.4,26,1.8,106.5,270.97,2006,12,新竹縣
苗栗農改,16.9,29.3,7,,319.95,2006,12,苗栗縣
台中農改,18.5,29.1,9.6,174.7,227.92,2006,12,台中市
臺大溪頭,14.1,27.5,6,,205.26,2006,12,南投縣
雲林分場,18.2,28.9,7.3,148,254.7,2006,12,雲林縣
義竹分場,17.95,,,,,2006,12,嘉義縣
畜試所,18.9,29.1,7.5,132.6,227.62,2006,12,臺南市
高雄農改,21,31.3,11.4,84.5,220.24,2006,12,屏東縣
恆春畜試,22.6,30.4,15.8,162.5,420.75,2006,12,屏東縣
蘭陽分場,17.3,26.8,11.1,60.3,179.51,2006,12,宜蘭縣
花蓮農改,18.7,28.2,11.1,65,218.85,2006,12,花蓮縣
斑鳩分場,18.9,29.6,10.9,69.7,163.46,2006,12,台東縣
農業試驗所,18.3,30.2,8.1,197.2,255.63,2006,12,台中市
茶改場,14.7,24.9,4.8,107.2,240.45,2007,1,桃園市
