項次,性別,年齡,職業,薪水,婚姻,居住地,交通方式,飲料偏好,價格,外送習慣,,,,,,,,,,,,
447,女,28,工程師,49000,已婚,大同區,騎車,龜記,40,否,,,,,,,,,,,,
450,女,28,職員,67000,已婚,松山區,捷運,約翰紅茶,45,否,,,,,,,,,,,,
453,男,28,金融業,39000,未婚,南港區,公車,龜記,45,否,,,,,,,,,,,,
501,女,28,職員,79000,未婚,萬華區,騎車,珍煮丹,70,否,,,,,,,,,,,,
530,男,28,金融業,49500,已婚,大同區,捷運,約翰紅茶,60,否,,,,,,,,,,,,
531,男,28,職員,40500,未婚,信義區,捷運,約翰紅茶,55,是,,,,,,,,,,,,
539,男,28,職員,59000,未婚,大同區,公車,五桐號,50,否,,,,,,,,,,,,
574,男,28,職員,34000,未婚,信義區,騎車,春水堂,45,是,,,,,,,,,,,,
654,男,28,職員,51500,已婚,大安區,騎車,約翰紅茶,40,否,,,,,,,,,,,,
704,男,28,職員,41000,已婚,信義區,公車,其他,55,否,,,,,,,,,,,,
709,男,28,職員,74500,已婚,北投區,公車,其他,65,是,,,,,,,,,,,,
720,男,28,警察,61000,已婚,文山區,開車,五桐號,55,是,,,,,,,,,,,,
757,男,28,金融業,69000,未婚,文山區,騎車,其他,45,否,,,,,,,,,,,,
767,男,28,工人,61500,已婚,北投區,捷運,約翰紅茶,45,否,,,,,,,,,,,,
856,女,28,業務,68000,未婚,大安區,捷運,春水堂,40,是,,,,,,,,,,,,
912,男,28,金融業,73500,未婚,文山區,捷運,約翰紅茶,50,是,,,,,,,,,,,,
948,女,28,職員,74500,未婚,北投區,公車,50嵐,70,否,,,,,,,,,,,,
990,女,28,服務業,65500,已婚,內湖區,開車,萬波,35,否,,,,,,,,,,,,
996,男,28,職員,36500,已婚,信義區,騎車,萬波,60,否,,,,,,,,,,,,
997,女,28,業務,41500,已婚,士林區,公車,可不可,40,是,,,,,,,,,,,,
38,男,29,工程師,40000,未婚,大同區,騎車,可不可,65,否,,,,,,,,,,,,
61,男,29,金融業,60500,未婚,大安區,騎車,50嵐,45,否,,,,,,,,,,,,
107,男,29,職員,58500,未婚,中山區,公車,CoCo都可,40,否,,,,,,,,,,,,
112,男,29,服務業,56500,未婚,士林區,騎車,春水堂,45,是,,,,,,,,,,,,
131,男,29,自由業,69000,未婚,北投區,捷運,天仁茗茶,55,是,,,,,,,,,,,,
142,女,29,警察,76000,已婚,南港區,騎車,約翰紅茶,45,否,,,,,,,,,,,,
199,男,29,工程師,69000,已婚,中正區,捷運,50嵐,65,是,,,,,,,,,,,,
239,男,29,工人,56000,已婚,大同區,公車,其他,55,否,,,,,,,,,,,,
336,男,29,工人,71000,已婚,大安區,公車,天仁茗茶,65,是,,,,,,,,,,,,
352,女,29,職員,39500,已婚,萬華區,捷運,清新福全,55,否,,,,,,,,,,,,
355,女,29,金融業,48000,已婚,北投區,騎車,清新福全,65,否,,,,,,,,,,,,
382,女,29,職員,70500,已婚,大安區,騎車,五桐號,45,否,,,,,,,,,,,,
397,男,29,傳統市場,61500,未婚,大同區,捷運,萬波,55,否,,,,,,,,,,,,
455,男,29,職員,52500,未婚,大安區,捷運,50嵐,70,否,,,,,,,,,,,,
466,女,29,金融業,39000,已婚,南港區,騎車,CoCo都可,65,否,,,,,,,,,,,,
476,男,29,職員,39500,已婚,大安區,捷運,約翰紅茶,45,否,,,,,,,,,,,,
509,女,29,服務業,79000,未婚,南港區,騎車,清新福全,40,否,,,,,,,,,,,,
513,女,29,自由業,45500,未婚,大同區,騎車,約翰紅茶,40,是,,,,,,,,,,,,
521,男,29,自由業,61500,已婚,北投區,騎車,可不可,50,是,,,,,,,,,,,,
524,女,29,傳統市場,67000,未婚,士林區,公車,萬波,45,是,,,,,,,,,,,,
588,女,29,業務,51000,已婚,信義區,開車,約翰紅茶,70,否,,,,,,,,,,,,
593,男,29,職員,43500,已婚,中正區,捷運,春水堂,50,否,,,,,,,,,,,,
621,女,29,職員,33500,已婚,文山區,騎車,萬波,60,否,,,,,,,,,,,,
631,男,29,職員,39500,已婚,萬華區,捷運,五桐號,70,否,,,,,,,,,,,,
659,女,29,教師,67500,已婚,士林區,公車,龜記,50,否,,,,,,,,,,,,
696,女,29,業務,69500,未婚,士林區,捷運,春水堂,65,否,,,,,,,,,,,,
755,男,29,自由業,30000,未婚,松山區,騎車,龜記,50,否,,,,,,,,,,,,
761,男,29,金融業,54500,未婚,大安區,捷運,春水堂,65,否,,,,,,,,,,,,
816,女,29,金融業,44000,未婚,松山區,騎車,龜記,60,否,,,,,,,,,,,,
855,女,29,工程師,74000,未婚,松山區,捷運,萬波,35,否,,,,,,,,,,,,
860,男,29,工人,55500,已婚,中山區,騎車,龜記,65,是,,,,,,,,,,,,
863,女,29,職員,58500,未婚,士林區,公車,可不可,50,否,,,,,,,,,,,,
908,男,29,工程師,74500,未婚,大同區,公車,珍煮丹,65,否,,,,,,,,,,,,
914,女,29,公務員,63000,已婚,大安區,公車,春水堂,35,否,,,,,,,,,,,,
922,女,29,工人,44000,未婚,內湖區,公車,珍煮丹,35,否,,,,,,,,,,,,
930,男,29,職員,69000,已婚,信義區,公車,春水堂,65,否,,,,,,,,,,,,
936,男,29,職員,79000,未婚,南港區,公車,珍煮丹,70,否,,,,,,,,,,,,
944,女,29,業務,49500,已婚,大安區,公車,龜記,70,否,,,,,,,,,,,,
999,女,29,職員,36000,已婚,萬華區,騎車,五桐號,55,是,,,,,,,,,,,,
25,男,30,金融業,65000,未婚,北投區,開車,天仁茗茶,50,是,,,,,,,,,,,,
39,男,30,職員,57500,已婚,北投區,公車,春水堂,35,是,,,,,,,,,,,,
55,男,30,服務業,76000,未婚,中山區,開車,天仁茗茶,40,是,,,,,,,,,,,,
104,男,30,公務員,79000,已婚,中正區,開車,50嵐,40,否,,,,,,,,,,,,
137,男,30,職員,38000,未婚,文山區,捷運,五桐號,60,是,,,,,,,,,,,,
143,男,30,職員,43000,未婚,北投區,公車,約翰紅茶,40,否,,,,,,,,,,,,
147,女,30,工程師,43000,已婚,信義區,騎車,其他,40,是,,,,,,,,,,,,
160,男,30,職員,59500,已婚,萬華區,捷運,珍煮丹,35,否,,,,,,,,,,,,
181,男,30,工程師,62500,已婚,文山區,捷運,可不可,35,是,,,,,,,,,,,,
229,男,30,職員,40000,未婚,南港區,捷運,CoCo都可,50,是,,,,,,,,,,,,
232,女,30,金融業,52000,已婚,內湖區,公車,50嵐,50,否,,,,,,,,,,,,
259,女,30,職員,42500,未婚,文山區,捷運,五桐號,65,否,,,,,,,,,,,,
260,男,30,金融業,54500,已婚,內湖區,捷運,珍煮丹,45,否,,,,,,,,,,,,
272,男,30,學生,29000,未婚,松山區,騎車,萬波,50,是,,,,,,,,,,,,
281,女,30,服務業,38000,已婚,萬華區,捷運,龜記,50,否,,,,,,,,,,,,
323,女,30,職員,28000,未婚,大同區,公車,春水堂,70,是,,,,,,,,,,,,
326,女,30,傳統市場,66000,未婚,中正區,公車,龜記,35,是,,,,,,,,,,,,
349,男,30,職員,56500,已婚,文山區,騎車,可不可,50,是,,,,,,,,,,,,
452,女,30,傳統市場,69000,未婚,南港區,騎車,CoCo都可,40,否,,,,,,,,,,,,
486,女,30,職員,37500,未婚,士林區,捷運,春水堂,60,否,,,,,,,,,,,,
563,男,30,公務員,38000,未婚,大同區,捷運,萬波,50,是,,,,,,,,,,,,
564,男,30,職員,44500,已婚,萬華區,公車,春水堂,50,是,,,,,,,,,,,,
607,女,30,自由業,42500,已婚,北投區,捷運,清新福全,35,否,,,,,,,,,,,,
620,女,30,職員,61000,已婚,南港區,騎車,清新福全,70,否,,,,,,,,,,,,
680,女,30,教師,40000,已婚,松山區,開車,龜記,35,否,,,,,,,,,,,,
691,女,30,職員,30000,已婚,文山區,捷運,天仁茗茶,55,否,,,,,,,,,,,,
717,男,30,職員,56500,未婚,北投區,捷運,珍煮丹,40,是,,,,,,,,,,,,
769,女,30,傳統市場,39000,已婚,士林區,騎車,萬波,45,是,,,,,,,,,,,,
784,女,30,金融業,66000,已婚,大同區,捷運,50嵐,35,否,,,,,,,,,,,,
812,男,30,職員,46000,已婚,中正區,捷運,龜記,35,否,,,,,,,,,,,,
814,女,30,零售業,75000,未婚,大安區,捷運,可不可,45,否,,,,,,,,,,,,
822,男,30,業務,39500,未婚,南港區,開車,珍煮丹,65,是,,,,,,,,,,,,
825,女,30,職員,52000,未婚,萬華區,捷運,CoCo都可,60,否,,,,,,,,,,,,
915,男,30,業務,48500,未婚,大同區,騎車,約翰紅茶,60,否,,,,,,,,,,,,
49,女,31,職員,49000,已婚,士林區,公車,約翰紅茶,60,否,,,,,,,,,,,,
94,女,31,工程師,73000,未婚,大同區,捷運,清新福全,40,否,,,,,,,,,,,,
99,女,31,工程師,60000,已婚,大同區,公車,CoCo都可,45,否,,,,,,,,,,,,
100,男,31,工程師,57000,未婚,內湖區,公車,可不可,40,否,,,,,,,,,,,,
103,女,31,工人,44500,已婚,士林區,捷運,珍煮丹,50,否,,,,,,,,,,,,
156,女,31,傳統市場,34500,已婚,大同區,公車,50嵐,70,是,,,,,,,,,,,,
169,女,31,金融業,73000,未婚,南港區,開車,清新福全,60,否,,,,,,,,,,,,
183,男,31,金融業,59000,未婚,中山區,騎車,春水堂,35,否,,,,,,,,,,,,
184,男,31,金融業,42000,未婚,萬華區,騎車,天仁茗茶,60,否,,,,,,,,,,,,
186,女,31,職員,39000,未婚,信義區,騎車,天仁茗茶,60,否,,,,,,,,,,,,
212,男,31,職員,62500,已婚,松山區,騎車,約翰紅茶,60,否,,,,,,,,,,,,
230,男,31,職員,37500,未婚,南港區,捷運,約翰紅茶,55,是,,,,,,,,,,,,
241,男,31,服務業,74000,已婚,萬華區,捷運,天仁茗茶,40,是,,,,,,,,,,,,
286,男,31,公務員,51000,未婚,南港區,公車,可不可,40,是,,,,,,,,,,,,
291,女,31,金融業,68500,已婚,大同區,騎車,可不可,45,否,,,,,,,,,,,,
357,男,31,工程師,41500,未婚,南港區,捷運,龜記,65,是,,,,,,,,,,,,
359,女,31,職員,38500,已婚,文山區,公車,五桐號,45,是,,,,,,,,,,,,
361,女,31,服務業,57000,未婚,文山區,捷運,萬波,70,是,,,,,,,,,,,,
370,女,31,業務,73000,已婚,北投區,捷運,CoCo都可,60,是,,,,,,,,,,,,
371,女,31,業務,29500,未婚,松山區,捷運,其他,40,是,,,,,,,,,,,,
418,男,31,職員,38500,已婚,中正區,騎車,其他,55,否,,,,,,,,,,,,
430,女,31,職員,58500,未婚,文山區,開車,五桐號,55,否,,,,,,,,,,,,
434,女,31,職員,68500,已婚,中山區,公車,50嵐,70,否,,,,,,,,,,,,
444,男,31,職員,61500,已婚,松山區,公車,約翰紅茶,45,是,,,,,,,,,,,,
471,男,31,職員,42500,已婚,文山區,騎車,珍煮丹,45,否,,,,,,,,,,,,
532,男,31,工程師,63500,已婚,中山區,捷運,萬波,40,否,,,,,,,,,,,,
612,男,31,自由業,59000,未婚,士林區,捷運,春水堂,35,否,,,,,,,,,,,,
649,男,31,金融業,40500,已婚,文山區,公車,珍煮丹,70,是,,,,,,,,,,,,
660,女,31,職員,63500,已婚,松山區,捷運,萬波,70,是,,,,,,,,,,,,
693,女,31,職員,62000,已婚,信義區,公車,50嵐,50,是,,,,,,,,,,,,
707,男,31,工人,65000,已婚,中山區,騎車,可不可,45,是,,,,,,,,,,,,
718,男,31,工程師,69500,未婚,內湖區,公車,春水堂,40,否,,,,,,,,,,,,
727,女,31,工程師,60000,未婚,士林區,捷運,春水堂,70,否,,,,,,,,,,,,
764,男,31,工人,30000,未婚,中山區,騎車,約翰紅茶,55,否,,,,,,,,,,,,
804,女,31,業務,72000,未婚,大安區,騎車,龜記,40,是,,,,,,,,,,,,
817,女,31,職員,68500,已婚,松山區,騎車,萬波,70,否,,,,,,,,,,,,
858,女,31,職員,66000,已婚,大同區,公車,五桐號,45,否,,,,,,,,,,,,
864,男,31,零售業,34500,未婚,士林區,捷運,可不可,65,是,,,,,,,,,,,,
907,女,31,職員,60000,未婚,大安區,公車,可不可,45,否,,,,,,,,,,,,
926,女,31,工人,54500,已婚,南港區,捷運,清新福全,70,否,,,,,,,,,,,,
956,男,31,公務員,42000,未婚,文山區,公車,春水堂,35,否,,,,,,,,,,,,
962,女,31,業務,69000,已婚,松山區,捷運,春水堂,35,否,,,,,,,,,,,,
22,男,32,職員,52500,未婚,大安區,公車,約翰紅茶,65,否,,,,,,,,,,,,
109,男,32,零售業,71500,已婚,南港區,公車,清新福全,65,是,,,,,,,,,,,,
135,男,32,傳統市場,28000,未婚,內湖區,捷運,天仁茗茶,50,是,,,,,,,,,,,,
138,女,32,職員,36500,未婚,士林區,捷運,CoCo都可,45,否,,,,,,,,,,,,
146,女,32,工人,34500,未婚,內湖區,公車,約翰紅茶,50,是,,,,,,,,,,,,
164,男,32,自由業,72000,已婚,文山區,開車,其他,55,是,,,,,,,,,,,,
172,女,32,職員,65000,未婚,文山區,公車,其他,45,否,,,,,,,,,,,,
182,男,32,職員,74000,未婚,士林區,公車,珍煮丹,70,是,,,,,,,,,,,,
297,女,32,工程師,38500,已婚,南港區,騎車,春水堂,50,否,,,,,,,,,,,,
314,女,32,工程師,37000,未婚,信義區,騎車,約翰紅茶,45,是,,,,,,,,,,,,
379,女,32,工人,35000,已婚,北投區,捷運,萬波,35,是,,,,,,,,,,,,
404,女,32,公務員,39500,已婚,內湖區,捷運,天仁茗茶,50,否,,,,,,,,,,,,
422,女,32,職員,56000,已婚,中正區,公車,五桐號,55,是,,,,,,,,,,,,
435,女,32,職員,38500,未婚,士林區,公車,約翰紅茶,70,是,,,,,,,,,,,,
437,女,32,金融業,76000,未婚,南港區,捷運,清新福全,50,否,,,,,,,,,,,,
462,女,32,金融業,63500,未婚,文山區,騎車,約翰紅茶,65,是,,,,,,,,,,,,
559,女,32,職員,78000,已婚,信義區,騎車,春水堂,70,否,,,,,,,,,,,,
601,男,32,職員,35500,已婚,信義區,騎車,CoCo都可,65,是,,,,,,,,,,,,
608,女,32,職員,49500,未婚,北投區,捷運,春水堂,70,是,,,,,,,,,,,,
641,女,32,職員,57000,未婚,大同區,公車,CoCo都可,60,否,,,,,,,,,,,,
656,女,32,醫生,43500,已婚,南港區,公車,CoCo都可,45,否,,,,,,,,,,,,
677,男,32,傳統市場,39000,已婚,文山區,公車,萬波,50,是,,,,,,,,,,,,
708,男,32,業務,30000,已婚,士林區,公車,五桐號,50,是,,,,,,,,,,,,
745,男,32,職員,55000,未婚,南港區,捷運,五桐號,55,是,,,,,,,,,,,,
776,男,32,職員,49000,已婚,士林區,騎車,珍煮丹,50,否,,,,,,,,,,,,
794,男,32,職員,43000,已婚,中正區,騎車,可不可,70,是,,,,,,,,,,,,
838,女,32,金融業,42500,未婚,內湖區,捷運,五桐號,35,是,,,,,,,,,,,,
851,男,32,傳統市場,52000,未婚,萬華區,捷運,其他,35,是,,,,,,,,,,,,
878,女,32,職員,79500,已婚,松山區,捷運,可不可,45,否,,,,,,,,,,,,
883,女,32,職員,48500,已婚,中正區,捷運,清新福全,45,是,,,,,,,,,,,,
905,女,32,職員,78000,已婚,萬華區,捷運,萬波,50,否,,,,,,,,,,,,
906,女,32,業務,68000,未婚,中正區,騎車,約翰紅茶,70,否,,,,,,,,,,,,
943,女,32,自由業,38500,已婚,中山區,騎車,約翰紅茶,60,否,,,,,,,,,,,,
96,女,33,金融業,59500,已婚,中山區,開車,龜記,65,否,,,,,,,,,,,,
170,女,33,零售業,50500,未婚,中山區,捷運,清新福全,70,否,,,,,,,,,,,,
190,男,33,律師,61000,已婚,大安區,捷運,CoCo都可,35,否,,,,,,,,,,,,
200,男,33,職員,75000,未婚,中正區,騎車,CoCo都可,65,否,,,,,,,,,,,,
214,男,33,金融業,62500,未婚,大同區,捷運,CoCo都可,40,否,,,,,,,,,,,,
217,男,33,職員,59000,已婚,文山區,捷運,龜記,50,否,,,,,,,,,,,,
268,男,33,職員,71500,未婚,中正區,捷運,天仁茗茶,50,否,,,,,,,,,,,,
310,女,33,工人,69000,已婚,信義區,公車,龜記,40,否,,,,,,,,,,,,
443,男,33,金融業,38000,未婚,中山區,開車,可不可,55,否,,,,,,,,,,,,
470,男,33,傳統市場,34000,已婚,內湖區,騎車,約翰紅茶,40,是,,,,,,,,,,,,
495,男,33,職員,42000,未婚,中山區,公車,其他,40,否,,,,,,,,,,,,
496,男,33,職員,47000,未婚,中山區,捷運,龜記,70,是,,,,,,,,,,,,
520,女,33,業務,62000,已婚,士林區,捷運,萬波,60,否,,,,,,,,,,,,
578,男,33,公務員,77000,已婚,北投區,捷運,CoCo都可,45,否,,,,,,,,,,,,
638,男,33,職員,70000,已婚,松山區,騎車,約翰紅茶,45,否,,,,,,,,,,,,
733,女,33,工人,42000,未婚,中山區,捷運,清新福全,50,否,,,,,,,,,,,,
751,男,33,金融業,43500,已婚,中山區,騎車,可不可,35,是,,,,,,,,,,,,
800,男,33,職員,59500,未婚,松山區,公車,天仁茗茶,35,否,,,,,,,,,,,,
890,男,33,服務業,48500,已婚,中正區,捷運,CoCo都可,65,是,,,,,,,,,,,,
950,女,33,業務,40500,未婚,中山區,捷運,其他,40,是,,,,,,,,,,,,
951,女,33,教師,36500,已婚,萬華區,公車,CoCo都可,60,否,,,,,,,,,,,,
972,女,33,服務業,47000,已婚,松山區,捷運,CoCo都可,45,否,,,,,,,,,,,,
987,男,33,金融業,57000,未婚,中山區,騎車,可不可,45,是,,,,,,,,,,,,
998,男,33,職員,74000,未婚,大同區,捷運,50嵐,65,是,,,,,,,,,,,,
1,女,34,職員,58500,未婚,信義區,捷運,CoCo都可,45,否,,,,,,,,,,,,
28,男,34,金融業,40000,已婚,北投區,騎車,50嵐,50,否,,,,,,,,,,,,
29,女,34,金融業,48000,未婚,萬華區,公車,春水堂,60,是,,,,,,,,,,,,
40,女,34,傳統市場,76500,未婚,士林區,捷運,可不可,60,否,,,,,,,,,,,,
46,女,34,職員,30000,已婚,中山區,公車,約翰紅茶,55,是,,,,,,,,,,,,
213,男,34,職員,42500,未婚,萬華區,公車,清新福全,35,是,,,,,,,,,,,,
231,女,34,職員,76000,已婚,大安區,捷運,五桐號,40,否,,,,,,,,,,,,
282,女,34,教師,63000,已婚,南港區,捷運,珍煮丹,55,是,,,,,,,,,,,,
376,女,34,金融業,64000,已婚,南港區,開車,龜記,35,否,,,,,,,,,,,,
389,女,34,公務員,53500,未婚,中山區,公車,CoCo都可,35,是,,,,,,,,,,,,
405,男,34,金融業,39500,未婚,南港區,騎車,清新福全,65,是,,,,,,,,,,,,
428,男,34,職員,77500,未婚,北投區,騎車,天仁茗茶,60,是,,,,,,,,,,,,
463,男,34,業務,79000,已婚,南港區,公車,其他,55,否,,,,,,,,,,,,
505,女,34,職員,62500,未婚,南港區,騎車,珍煮丹,45,是,,,,,,,,,,,,
523,男,34,公務員,68500,已婚,文山區,騎車,50嵐,60,否,,,,,,,,,,,,
535,女,34,職員,69500,已婚,大安區,捷運,天仁茗茶,60,是,,,,,,,,,,,,
582,男,34,傳統市場,57500,已婚,內湖區,捷運,春水堂,65,否,,,,,,,,,,,,
590,女,34,職員,30500,未婚,大同區,捷運,龜記,40,是,,,,,,,,,,,,
602,女,34,職員,59500,已婚,萬華區,騎車,五桐號,40,否,,,,,,,,,,,,
627,女,34,工人,75500,未婚,內湖區,公車,50嵐,65,是,,,,,,,,,,,,
639,女,34,律師,72500,已婚,南港區,公車,其他,35,否,,,,,,,,,,,,
672,女,34,自由業,64500,已婚,士林區,捷運,春水堂,60,是,,,,,,,,,,,,
741,男,34,工程師,44500,已婚,大同區,捷運,約翰紅茶,35,否,,,,,,,,,,,,
813,女,34,業務,63500,已婚,大安區,公車,珍煮丹,45,否,,,,,,,,,,,,
833,女,34,工程師,67500,未婚,松山區,捷運,約翰紅茶,70,是,,,,,,,,,,,,
836,女,34,職員,80000,已婚,信義區,捷運,天仁茗茶,45,否,,,,,,,,,,,,
879,女,34,業務,55500,未婚,北投區,公車,龜記,70,否,,,,,,,,,,,,
979,女,34,自由業,57000,已婚,松山區,捷運,可不可,70,否,,,,,,,,,,,,
981,男,34,職員,70500,未婚,大同區,公車,約翰紅茶,55,否,,,,,,,,,,,,
86,女,35,自由業,79000,未婚,松山區,捷運,清新福全,65,是,,,,,,,,,,,,
126,男,35,職員,59000,未婚,士林區,捷運,天仁茗茶,45,否,,,,,,,,,,,,
209,女,35,職員,46500,未婚,北投區,騎車,清新福全,60,否,,,,,,,,,,,,
219,男,35,職員,57000,已婚,南港區,公車,天仁茗茶,70,是,,,,,,,,,,,,
250,男,35,職員,38500,未婚,大同區,公車,珍煮丹,35,否,,,,,,,,,,,,
261,女,35,律師,65000,已婚,中山區,公車,50嵐,70,否,,,,,,,,,,,,
321,男,35,職員,71000,未婚,南港區,公車,五桐號,50,否,,,,,,,,,,,,
324,男,35,工人,51500,已婚,大同區,公車,約翰紅茶,60,否,,,,,,,,,,,,
375,男,35,金融業,51000,已婚,中正區,捷運,萬波,70,是,,,,,,,,,,,,
457,男,35,服務業,65000,已婚,大安區,捷運,清新福全,40,是,,,,,,,,,,,,
479,男,35,業務,43000,已婚,內湖區,騎車,可不可,35,否,,,,,,,,,,,,
480,女,35,職員,47000,已婚,大同區,捷運,約翰紅茶,35,是,,,,,,,,,,,,
550,女,35,工程師,73500,已婚,中正區,騎車,龜記,40,否,,,,,,,,,,,,
572,男,35,職員,74500,未婚,松山區,騎車,清新福全,50,是,,,,,,,,,,,,
587,女,35,職員,65000,已婚,信義區,騎車,五桐號,40,是,,,,,,,,,,,,
630,女,35,律師,62000,已婚,信義區,騎車,約翰紅茶,35,是,,,,,,,,,,,,
702,男,35,零售業,54000,未婚,大安區,騎車,春水堂,70,是,,,,,,,,,,,,
762,男,35,職員,49500,已婚,士林區,公車,天仁茗茶,40,否,,,,,,,,,,,,
775,男,35,職員,59500,已婚,大安區,開車,50嵐,50,否,,,,,,,,,,,,
783,女,35,業務,49000,未婚,萬華區,公車,可不可,65,否,,,,,,,,,,,,
787,男,35,公務員,59500,已婚,士林區,騎車,其他,65,否,,,,,,,,,,,,
799,女,35,金融業,33500,已婚,中山區,捷運,CoCo都可,70,是,,,,,,,,,,,,
811,女,35,職員,48500,已婚,信義區,騎車,五桐號,60,否,,,,,,,,,,,,
840,女,35,職員,71500,已婚,大同區,騎車,天仁茗茶,35,否,,,,,,,,,,,,
901,女,35,職員,43500,已婚,萬華區,騎車,萬波,65,是,,,,,,,,,,,,
903,男,35,金融業,68500,已婚,士林區,公車,五桐號,70,否,,,,,,,,,,,,
910,男,35,教師,39500,已婚,中山區,捷運,可不可,35,否,,,,,,,,,,,,
27,女,36,傳統市場,56500,已婚,北投區,捷運,珍煮丹,60,是,,,,,,,,,,,,
65,女,36,工程師,52500,未婚,大安區,捷運,50嵐,40,否,,,,,,,,,,,,
88,男,36,警察,52000,已婚,大安區,捷運,天仁茗茶,65,否,,,,,,,,,,,,
130,男,36,傳統市場,59000,已婚,信義區,公車,約翰紅茶,65,否,,,,,,,,,,,,
141,男,36,職員,74500,已婚,士林區,捷運,萬波,65,否,,,,,,,,,,,,
171,女,36,工人,72500,未婚,北投區,捷運,清新福全,40,否,,,,,,,,,,,,
204,女,36,職員,68000,未婚,士林區,開車,春水堂,70,否,,,,,,,,,,,,
224,女,36,自由業,60500,未婚,文山區,捷運,天仁茗茶,50,否,,,,,,,,,,,,
275,女,36,金融業,53500,未婚,萬華區,公車,春水堂,55,否,,,,,,,,,,,,
287,女,36,服務業,53500,已婚,士林區,公車,珍煮丹,50,否,,,,,,,,,,,,
288,女,36,職員,69000,已婚,大同區,騎車,萬波,40,否,,,,,,,,,,,,
299,女,36,職員,61500,已婚,大同區,捷運,春水堂,35,否,,,,,,,,,,,,
304,男,36,職員,78500,未婚,南港區,騎車,珍煮丹,60,否,,,,,,,,,,,,
305,男,36,金融業,45000,未婚,大同區,捷運,CoCo都可,35,否,,,,,,,,,,,,
312,女,36,業務,33500,已婚,松山區,公車,CoCo都可,40,否,,,,,,,,,,,,
341,女,36,金融業,40500,已婚,北投區,捷運,可不可,65,否,,,,,,,,,,,,
345,男,36,服務業,67500,未婚,中正區,騎車,珍煮丹,55,是,,,,,,,,,,,,
353,男,36,職員,37000,未婚,內湖區,騎車,50嵐,70,是,,,,,,,,,,,,
426,男,36,公務員,42000,已婚,松山區,捷運,50嵐,55,否,,,,,,,,,,,,
441,男,36,服務業,79500,未婚,文山區,騎車,五桐號,40,是,,,,,,,,,,,,
464,女,36,職員,49000,已婚,中正區,捷運,約翰紅茶,55,是,,,,,,,,,,,,
508,男,36,職員,56500,未婚,文山區,騎車,春水堂,60,是,,,,,,,,,,,,
510,女,36,醫生,48000,已婚,大同區,公車,天仁茗茶,70,否,,,,,,,,,,,,
515,男,36,工程師,42500,已婚,文山區,公車,其他,60,否,,,,,,,,,,,,
545,男,36,職員,71500,已婚,內湖區,公車,春水堂,50,否,,,,,,,,,,,,
567,女,36,金融業,47500,已婚,信義區,騎車,龜記,65,是,,,,,,,,,,,,
575,男,36,業務,75000,未婚,大同區,捷運,五桐號,70,否,,,,,,,,,,,,
603,男,36,工程師,79000,未婚,大同區,捷運,清新福全,60,是,,,,,,,,,,,,
605,女,36,傳統市場,80000,未婚,文山區,捷運,清新福全,35,是,,,,,,,,,,,,
636,男,36,金融業,57000,未婚,大安區,騎車,可不可,65,是,,,,,,,,,,,,
705,男,36,職員,50000,已婚,士林區,公車,龜記,70,否,,,,,,,,,,,,
728,男,36,職員,51500,已婚,大同區,騎車,CoCo都可,70,否,,,,,,,,,,,,
831,女,36,公務員,51500,未婚,大安區,騎車,萬波,65,是,,,,,,,,,,,,
843,女,36,傳統市場,60000,已婚,松山區,捷運,50嵐,55,否,,,,,,,,,,,,
3,男,37,自由業,41500,已婚,中正區,公車,五桐號,55,是,,,,,,,,,,,,
14,男,37,傳統市場,35500,未婚,南港區,騎車,約翰紅茶,35,否,,,,,,,,,,,,
73,男,37,服務業,56000,已婚,大安區,騎車,天仁茗茶,65,否,,,,,,,,,,,,
75,女,37,工程師,41500,已婚,北投區,捷運,天仁茗茶,40,是,,,,,,,,,,,,
151,男,37,職員,31500,未婚,中山區,捷運,珍煮丹,45,否,,,,,,,,,,,,
337,男,37,服務業,70500,未婚,士林區,騎車,龜記,55,是,,,,,,,,,,,,
384,女,37,業務,34500,未婚,士林區,捷運,龜記,65,是,,,,,,,,,,,,
396,女,37,金融業,55000,未婚,中山區,開車,春水堂,50,否,,,,,,,,,,,,
398,男,37,職員,62000,未婚,北投區,公車,50嵐,35,是,,,,,,,,,,,,
500,女,37,業務,31500,未婚,內湖區,捷運,珍煮丹,35,是,,,,,,,,,,,,
551,男,37,職員,43000,已婚,信義區,捷運,天仁茗茶,60,否,,,,,,,,,,,,
571,男,37,職員,42000,已婚,萬華區,捷運,50嵐,50,是,,,,,,,,,,,,
596,女,37,教師,55500,已婚,大安區,公車,天仁茗茶,60,是,,,,,,,,,,,,
628,女,37,工程師,85000,未婚,內湖區,公車,50嵐,70,否,,,,,,,,,,,,
658,女,37,工人,44500,未婚,內湖區,公車,春水堂,55,否,,,,,,,,,,,,
667,男,37,職員,34500,已婚,大同區,公車,約翰紅茶,40,否,,,,,,,,,,,,
685,女,37,工程師,65000,已婚,士林區,捷運,春水堂,50,是,,,,,,,,,,,,
722,男,37,職員,36500,未婚,士林區,騎車,春水堂,50,是,,,,,,,,,,,,
802,男,37,傳統市場,65000,未婚,松山區,公車,龜記,40,否,,,,,,,,,,,,
805,男,37,公務員,67000,未婚,大安區,捷運,五桐號,65,是,,,,,,,,,,,,
818,男,37,職員,77500,已婚,萬華區,騎車,珍煮丹,70,否,,,,,,,,,,,,
